Area,Meat,Value,total Population,Meat(kg),Meat per Capita
Afghanistan,330636,37171.921,37171921,330636000,8.8947784
Armenia,108247,2951.745,2951745,108247000,36.67220576
Azerbaijan,326024,9949.537,9949537,326024000,32.76775593
Bahrain,24397,1569.446,1569446,24397000,15.54497574
Bangladesh,705745,161376.708,161376708,705745000,4.373276718
Bhutan,6770,754.388,754388,6770000,8.974161837
Brunei Darussalam,26127,428.963,428963,26127000,60.90735098
Cambodia,180454,16249.792,16249792,180454000,11.10500368
China,86463014,1427647.786,1459377612,88156383000,60.40683527
Cyprus,79496,1189.265,1189265,79496000,66.84464774
Democratic People's Republic of Korea,346773,25549.604,25549604,346773000,13.57253913
Georgia,72133,4002.942,4002942,72133000,18.01999629
India,7454329,1352642.28,1352642280,7454329000,5.510938931
Indonesia,3596531,267670.543,267670543,3596531000,13.4364094
Iran,3086281,81800.188,81800188,3086281000,37.72950986
Iraq,191101,38433.6,38433600,191101000,4.972237834
Israel,803723,8381.516,8381516,803723000,95.89231829
Japan,4016429,127202.192,127202192,4016429000,31.57515556
Jordan,244200,9965.318,9965318,244200000,24.5049882
Kazakhstan,1050620,18319.618,18319618,1050620000,57.3494491
Kuwait,108012,4137.312,4137312,108012000,26.10680558
Kyrgyzstan,229753,6304.03,6304030,229753000,36.44541666
Lao People's Democratic Republic,156518,7061.507,7061507,156518000,22.16495714
Lebanon,180141,6859.408,6859408,180141000,26.26188732
Malaysia,2113716,31528.033,31528033,2113716000,67.04243173
Maldives,870,515.696,515696,870000,1.687040427
Mongolia,430466,3170.216,3170216,430466000,135.7844387
Myanmar,3528801,53708.32,53708320,3528801000,65.70306053
Nepal,399988,28095.714,28095714,399988000,14.23661986
Oman,80033,4829.473,4829473,80033000,16.57178744
Pakistan,3870230,212228.286,212228286,3870230000,18.23616481
Palestine,84319,4862.979,4862979,84319000,17.33896034
Philippines,3641656,106651.394,106651394,3641656000,34.14541398
Qatar,24131,2781.682,2781682,24131000,8.67496716
Republic of Korea,2498302,51171.706,51171706,2498302000,48.82194078
Saudi Arabia,762218,33702.756,33702756,762218000,22.61589527
Singapore,125342,5757.499,5757499,125342000,21.77021655
Sri Lanka,215157,21228.763,21228763,215157000,10.13516426
Syrian Arab Republic,342705,16945.057,16945057,342705000,20.22448198
Tajikistan,108011,9100.835,9100835,108011000,11.86825165
Thailand,2932944,69428.453,69428453,2932944000,42.24412144
Timor-Leste,36778,1267.974,1267974,36778000,29.00532661
Turkey,3668362,82340.088,82340088,3668362000,44.55134903
Turkmenistan,309941,5850.901,5850901,309941000,52.97320874
United Arab Emirates,170357,9630.959,9630959,170357000,17.68847734
Uzbekistan,1205758,32476.244,32476244,1205758000,37.12738456
Viet Nam,5227733,95545.962,95545962,5227733000,54.71432691
Yemen,424876,28498.683,28498683,424876000,14.90861876
