Quantity,Year,types
291416468,2010,Cattle
426317144,2010,Goats
632414000,2010,Turkey
1383539789,2010,Pigs
519509284,2010,Sheeps
290285032,2011,Cattle
429413577,2011,Goats
638519000,2011,Turkey
1387639934,2011,Pigs
512689187,2011,Sheeps
293093702,2012,Cattle
434691552,2012,Goats
654258000,2012,Turkey
1427935389,2012,Pigs
525363072,2012,Sheeps
297593570,2013,Cattle
443075261,2013,Goats
632619000,2013,Turkey
1452043214,2013,Pigs
541034127,2013,Sheeps
296583849,2014,Cattle
453672292,2014,Goats
632935000,2014,Turkey
1468266226,2014,Pigs
551997644,2014,Sheeps
293888754,2015,Cattle
462886606,2015,Goats
642327000,2015,Turkey
1485288483,2015,Pigs
557390975,2015,Sheeps
294486879,2016,Cattle
475409194,2016,Goats
668167000,2016,Turkey
1481173814,2016,Pigs
570081738,2016,Sheeps
297749677,2017,Cattle
470218722,2017,Goats
655212000,2017,Turkey
1486716445,2017,Pigs
564138566,2017,Sheeps
302150272,2018,Cattle
479137283,2018,Goats
656308000,2018,Turkey
1484492840,2018,Pigs
573806844,2018,Sheeps
